Name,GPX_file,Type,Stafftype,Beds,Area,Lock,Season,Other
Tjortedal,ut-no_tjortedal,DNT,Ubetjent,5,Sørlandskysten,DNT-Nøkkel,Hele året,Strøm
Ljosland Fjellstove,ut-no_ljosland-fjellstove,Privat,Betjent,48,Setesdalsheiene,Betjent,Hele året,Strøm
Lakkenstova,ut-no_lakkenstova,DNT,Selvbetjent,36,Setesdalsheiene,Åpen,Stengt slutt august,Strøm
Kvinen,ut-no_kvinen,DNT,Selvbetjent,40,Sirdal,DNT-Nøkkel,Hele året,Strøm
Josephsbu,ut-no_josephsbu,DNT,Selvbetjent,20,Setesdalsheiene,Åpen,Stengt slutt august,Strøm
Gaukhei,ut-no_gaukhei,DNT,Selvbetjent,46,Setesdalsheiene,Åpen,Hele året,Strøm
Tjønndalen,ut-no_tjnndalen,DNT,Ubetjent,6,Setesdalsheiene,Åpen,Hele året,
Håheller,ut-no_hheller,DNT,Ubetjent,8,Setesdalsheiene,Åpen,Stengt i perioden 31. okt. - 20. mai,
Øyuvsbu,ut-no_yuvsbu,DNT,Selvbetjent,34,Setesdalsheiene,Åpen,Stengt i perioden 22. des. - 20. mai,Strøm
Stavskar,ut-no_stavskar,DNT,Ubetjent,8,Setesdalsheiene,DNT-Nøkkel,Stengt i perioden 3. nov. - 16. mai,
Bossbu,ut-no_bossbu,DNT,Selvbetjent,27,Setesdalsheiene,Åpen,Stengt i perioden 25. april - 31. mai,Strøm
Bjørnevasshytta,ut-no_bjrnevasshytta,DNT,Ubetjent,8,Austheiene,DNT-Nøkkel,Hele året,Strøm
Rjukan Fjellstue as,ut-no_rjukan-fjellstue-as,Privat,Betjent,?,Hardangervidda,Betjent,Stengt i perioden 1. jan. - 30. juni,Strøm
Krokan Turisthytte,ut-no_krokan-turisthytte,DNT,Ubetjent,8,Telemark,Spesialnøkkel,Stengt 1. okt - 30. apr.,Strøm
Rjukan Admini Hotell,ut-no_rjukan-admini-hotell,Privat,Betjent,?,Hardangervidda,Betjent,?,
Gaustatoppen Turisthytte,ut-no_gaustatoppen-turisthytte,DNT,Betjent,11,Telemark,Betjent,Vinterstengt,Strøm
Olandsbu,ut-no_olandsbu,DNT,Ubetjent,4,Sørlandskysten,DNT-Nøkkel,Hele året,
Skarsvassbu,ut-no_skarsvassbu,DNT,Selvbetjent,12,Austheiene,Åpen,Hele året,
Grunnetjørnsbu,ut-no_grunnetjrnsbu,DNT,Selvbetjent,18,Austheiene,Åpen,Hele året,
Vindilhytta,ut-no_vindilhytta,Privat,Betjent,20,Austheiene,Betjent,Hele året,
Mjåvasshytta,ut-no_mjvasshytta,DNT,Selvbetjent,18,Austheiene,Åpen,Hele året,
Granbustøyl,ut-no_granbustyl,DNT,Selvbetjent,13,Austheiene,Åpen,Hele året,
Hengeltjørnhytta,ut-no_hengeltjrnhytta,DNT,Selvbetjent,13,Austheiene,Åpen,Hele året,
Kvipt Gjestegard,ut-no_kvipt-gjestegard,Privat,Betjent,23,Austheiene,Spesialnøkkel,Hele året,
Nutevasshytta,ut-no_nutevasshytta,DNT,Selvbetjent,20,Austheiene,Åpen,Hele året,
Nystøyl,ut-no_nystyl,DNT,Selvbetjent,20,Austheiene,Åpen,Hele året,
Torsdalsbu,ut-no_torsdalsbu,DNT,Ubetjent,9,Austheiene,DNT-Nøkkel,Hele året,
Hovstøyl,ut-no_hovstyl,DNT,Selvbetjent,20,Austheiene,Åpen,Hele året,
Trongebu,ut-no_trongebu,DNT,Nødbu,0,Telemark,Åpen,Hele året,
Sandtjennhytta,ut-no_sandtjennhytta,Statsskog,Ubetjent,10,Telemark,Spesialnøkkel,Hele året,
Venelibu,ut-no_venelibu,DNT,Nødbu,0,Telemark,Åpen,Hele året,
Helberghytta,ut-no_helberghytta,DNT Oslo,Selvbetjent,14,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023,
Kalhovd Turisthytte,ut-no_kalhovd-turisthytte,DNT,Ubetjent,75,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023 som ubetjent,Strøm. Betjeningsgrad varierer med sesong
Stordalsbu,ut-no_stordalsbu,DNT Oslo,Selvbetjent,12,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023,
Lågaros,ut-no_lgaros,DNT Oslo,Selvbetjent,38,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023,
Mårbu,ut-no_mrbu,DNT,Betjent,38,Hardangervidda,Betjent,Åpner 23. juni 2023,Strøm
Mårbu selvbetjent,ut-no_mrbu-selvbetjent,DNT,Selvbetjent,29,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023,Strøm
Mårbu Seter og Fjellstue,ut-no_mrbu-seter-og-fjellstue,Privat,Betjent,20,Hardangervidda,Betjent,?,Strøm
Imingfjell Turistheim,ut-no_imingfjell-turistheim,Privat,Betjent,55,Hardangervidda,Betjent,?,Strøm
Solheimstulen,ut-no_solheimstulen,DNT,Betjent,60,Hardangervidda,Betjent,Åpner kanskje 22. juni,Strøm
Ulvelilægeret,ut-no_ulvelilgeret,DNT,Nødbu,8,Hardangervidda,DNT-Nøkkel,Åpner 1. juli 2023,
Rauhelleren selvbetjent,ut-no_rauhelleren-selvbetjent,DNT,Selvbetjent,30,Hardangervidda,DNT-Nøkkel,Åpner 11. juni 2023,Strøm
Rauhelleren,ut-no_rauhelleren,DNT,Betjent,54,Hardangervidda,Betjent,Åpner 23. juni 2023,
Vasstulan,ut-no_vasstulan,Privat,Serveringssted,0,Hardangervidda,Åpen,?,
Torsetlia Fjellstue,ut-no_torsetlia-fjellstue,Privat,Betjent,70,Hardangervidda,Åpen,?,
Dagali Fjellpark,ut-no_dagali-fjellpark-leiehytte,Privat,Betjent,29,Hardangervidda,Spesialnøkkel,Hele året,Strøm
Ossjøen Sæterstue,ut-no_ossjen-sterstue,Privat,Ubetjent,30,Hardangervidda,,,Mye usikkerhet om tilgjengelighet
Åan Turisthytte,ut-no_an-turisthytte,Privat,Betjent,20,Hardangervidda,Betjent,?,Strøm
Heinseter,ut-no_heinseter,Privat,Betjent,55,Hardangervidda,Betjent,?,
Tuva Turisthytte,ut-no_tuva-turisthytte,Privat,Betjent,20,Hardangervidda,Betjent,?,
Grønebakken,ut-no_grnebakken,Privat,Serveringssted,0,Hardangervidda,Åpen,?,
Hakkesetstølen Fjellstugu og Hytter,ut-no_hakkesetstlen-fjellstugu-og-hytter,Privat,Betjent,33,Hardangervidda,Betjent,?,Strøm
Lufsjå,ut-no_lufsj,DNT Oslo,Selvbetjent,16,Blefjell,DNT-Nøkkel,Åpner 11. juni 2023,
Eidsbugarden Hotell,ut-no_eidsbugarden-hotell,Privat,Betjent,55,Jotunheimen,Betjent,?,Strøm
Fondsbu,ut-no_fondsbu,DNT Oslo,Betjent,100,Jotunheimen,Betjent,Stengt til 29. juni 2023,Strøm + depo
